CODE,ZONE,IMP_SUR_RATIO,ZONE_AREA,MANHOLES_COUNT,PUMP_COUNT,PUMP_RATIO,MANHOLES_RATIO
2644000000,강서구,24.36,1848800000.0,12838,22.0,1.1899610558199914e-08,0.006943963652098659
2641000000,금정구,18.94,657300000.0,3082,2.0,3.0427506465845124e-09,0.004688878746386733
2671000000,기장군,7.7,2198800000.0,3558,3.0,1.3643805712206657e-09,0.0016181553574677098
2629000000,남구,51.82,272800000.0,3156,7.0,2.565982404692082e-08,0.01156891495601173
2617000000,동구,57.92,100900000.0,2410,2.0,1.9821605550049554e-08,0.02388503468780971
2626000000,동래구,59.03,166700000.00000003,3165,4.0,2.3995200959808034e-08,0.018986202759448106
2623000000,부산진구,45.91,297800000.0,6581,0.0,0.0,0.0220987239758227
2632000000,북구,22.17,397600000.0,6842,6.0,1.5090543259557344e-08,0.01720824949698189
2653000000,사상구,40.23,362500000.0,5053,14.0,3.8620689655172417e-08,0.013939310344827587
2638000000,사하구,38.2,471100000.0,8331,7.0,1.4858841010401189e-08,0.017684143493950328
2614000000,서구,40.57,141400000.0,1308,0.0,0.0,0.00925035360678925
2650000000,수영구,61.44,103500000.0,1930,0.0,0.0,0.018647342995169083
2647000000,연제구,62.32,121500000.0,1991,5.0,4.11522633744856e-08,0.016386831275720163
2620000000,영도구,45.77,146300000.0,1914,0.0,0.0,0.013082706766917293
2611000000,중구,81.61,30099999.999999996,773,0.0,0.0,0.025681063122923592
2635000000,해운대구,27.63,523200000.0,8794,11.0,2.102446483180428e-08,0.016808103975535168
